<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20151124,000000,265.7500000
ROSN,D,20151125,000000,271.5500000
ROSN,D,20151126,000000,270.8500000
ROSN,D,20151127,000000,268.2000000
ROSN,D,20151130,000000,265.0000000
ROSN,D,20151201,000000,264.7000000
ROSN,D,20151202,000000,258.5000000
ROSN,D,20151203,000000,257.6000000
ROSN,D,20151204,000000,251.4500000
ROSN,D,20151207,000000,244.0000000
ROSN,D,20151208,000000,244.6500000
ROSN,D,20151209,000000,247.7000000
ROSN,D,20151210,000000,249.0000000
ROSN,D,20151211,000000,244.8500000
ROSN,D,20151214,000000,244.9000000
ROSN,D,20151215,000000,249.7000000
ROSN,D,20151216,000000,250.1000000
ROSN,D,20151217,000000,258.7000000
ROSN,D,20151218,000000,250.7500000
ROSN,D,20151221,000000,245.6000000
ROSN,D,20151222,000000,248.2000000
ROSN,D,20151223,000000,253.6500000
ROSN,D,20151224,000000,251.6000000
ROSN,D,20151225,000000,245.8000000
ROSN,D,20151228,000000,246.0000000
ROSN,D,20151229,000000,255.0000000
ROSN,D,20151230,000000,253.2500000
ROSN,D,20160104,000000,251.0000000
ROSN,D,20160105,000000,253.2000000
ROSN,D,20160106,000000,252.4000000
ROSN,D,20160111,000000,241.0500000
ROSN,D,20160112,000000,239.9000000
ROSN,D,20160113,000000,239.6000000
ROSN,D,20160114,000000,237.6500000
ROSN,D,20160115,000000,232.1000000
ROSN,D,20160118,000000,232.0000000
ROSN,D,20160119,000000,236.0500000
ROSN,D,20160120,000000,231.9000000
ROSN,D,20160121,000000,237.5000000
ROSN,D,20160122,000000,250.4000000
ROSN,D,20160125,000000,255.0000000
ROSN,D,20160126,000000,255.9000000
ROSN,D,20160127,000000,264.4000000
ROSN,D,20160128,000000,267.3500000
ROSN,D,20160129,000000,272.4500000
ROSN,D,20160201,000000,269.8000000
ROSN,D,20160202,000000,271.8000000
ROSN,D,20160203,000000,273.1000000
ROSN,D,20160204,000000,283.0000000
ROSN,D,20160205,000000,281.5500000
ROSN,D,20160208,000000,276.0500000
ROSN,D,20160209,000000,268.6000000
ROSN,D,20160210,000000,265.5000000
ROSN,D,20160211,000000,264.8500000
ROSN,D,20160212,000000,270.7000000
ROSN,D,20160215,000000,271.0000000
ROSN,D,20160216,000000,277.4000000
ROSN,D,20160217,000000,279.9000000
ROSN,D,20160218,000000,283.3500000
ROSN,D,20160219,000000,278.4000000
ROSN,D,20160220,000000,276.9500000
ROSN,D,20160222,000000,285.0000000
ROSN,D,20160224,000000,281.7000000
ROSN,D,20160225,000000,279.5000000
ROSN,D,20160226,000000,283.3000000
ROSN,D,20160229,000000,287.6000000
ROSN,D,20160301,000000,289.9000000
ROSN,D,20160302,000000,287.0000000
ROSN,D,20160303,000000,294.2500000
ROSN,D,20160304,000000,302.2500000
ROSN,D,20160307,000000,301.0000000
ROSN,D,20160309,000000,296.0000000
ROSN,D,20160310,000000,301.5500000
ROSN,D,20160311,000000,301.6000000
ROSN,D,20160314,000000,301.0500000
ROSN,D,20160315,000000,300.6000000
ROSN,D,20160316,000000,301.2500000
ROSN,D,20160317,000000,309.4000000
ROSN,D,20160318,000000,315.5500000
ROSN,D,20160321,000000,313.0000000
ROSN,D,20160322,000000,320.3500000
ROSN,D,20160323,000000,309.2000000
ROSN,D,20160324,000000,304.8000000
ROSN,D,20160325,000000,304.5000000
ROSN,D,20160328,000000,302.5000000
ROSN,D,20160329,000000,296.4000000
ROSN,D,20160330,000000,307.8000000
ROSN,D,20160331,000000,305.2000000
ROSN,D,20160401,000000,301.8000000
ROSN,D,20160404,000000,309.5000000
ROSN,D,20160405,000000,306.2000000
ROSN,D,20160406,000000,309.0500000
ROSN,D,20160407,000000,306.8000000
ROSN,D,20160408,000000,316.5000000
ROSN,D,20160411,000000,325.0000000
ROSN,D,20160412,000000,320.0000000
ROSN,D,20160413,000000,322.3000000
ROSN,D,20160414,000000,313.6000000
ROSN,D,20160415,000000,309.7500000
ROSN,D,20160418,000000,303.9000000
ROSN,D,20160419,000000,311.7500000
ROSN,D,20160420,000000,322.0500000
ROSN,D,20160421,000000,323.0000000
ROSN,D,20160422,000000,322.1000000
ROSN,D,20160425,000000,326.9000000
ROSN,D,20160426,000000,331.8500000
ROSN,D,20160427,000000,334.9500000
ROSN,D,20160428,000000,341.7500000
ROSN,D,20160429,000000,351.0000000
ROSN,D,20160504,000000,346.0000000
ROSN,D,20160505,000000,336.5000000
ROSN,D,20160506,000000,329.0000000
ROSN,D,20160510,000000,323.5000000
ROSN,D,20160511,000000,324.6000000
ROSN,D,20160512,000000,319.0000000
ROSN,D,20160513,000000,322.6500000
ROSN,D,20160516,000000,322.6000000
ROSN,D,20160517,000000,322.1000000
ROSN,D,20160518,000000,329.5000000
ROSN,D,20160519,000000,330.0000000
ROSN,D,20160520,000000,324.6500000
ROSN,D,20160523,000000,313.1000000
ROSN,D,20160524,000000,317.0000000
ROSN,D,20160525,000000,318.0000000
ROSN,D,20160526,000000,320.1500000
ROSN,D,20160527,000000,320.6000000
ROSN,D,20160530,000000,322.0000000
ROSN,D,20160531,000000,316.0000000
ROSN,D,20160601,000000,313.0000000
ROSN,D,20160602,000000,311.3500000
ROSN,D,20160603,000000,314.7500000
ROSN,D,20160606,000000,323.8500000
ROSN,D,20160607,000000,328.8500000
ROSN,D,20160608,000000,342.5000000
ROSN,D,20160609,000000,343.5000000
ROSN,D,20160610,000000,337.8500000
ROSN,D,20160614,000000,324.8000000
ROSN,D,20160615,000000,322.8500000
ROSN,D,20160616,000000,316.3000000
ROSN,D,20160617,000000,320.6500000
ROSN,D,20160620,000000,336.0000000
ROSN,D,20160621,000000,340.9500000
ROSN,D,20160622,000000,337.7500000
ROSN,D,20160623,000000,348.0000000
ROSN,D,20160624,000000,333.6500000
ROSN,D,20160627,000000,328.0500000
ROSN,D,20160628,000000,327.0000000
ROSN,D,20160629,000000,331.5000000
ROSN,D,20160630,000000,330.0000000
ROSN,D,20160701,000000,332.4500000
ROSN,D,20160704,000000,331.2000000
ROSN,D,20160705,000000,329.4000000
ROSN,D,20160706,000000,320.5000000
ROSN,D,20160707,000000,320.9000000
ROSN,D,20160708,000000,325.0000000
ROSN,D,20160711,000000,328.3500000
ROSN,D,20160712,000000,339.4000000
ROSN,D,20160713,000000,336.5000000
ROSN,D,20160714,000000,336.5000000
ROSN,D,20160715,000000,335.0000000
ROSN,D,20160718,000000,333.7000000
ROSN,D,20160719,000000,329.5000000
ROSN,D,20160720,000000,329.0500000
ROSN,D,20160721,000000,334.3000000
ROSN,D,20160722,000000,334.3000000
ROSN,D,20160725,000000,334.0000000
ROSN,D,20160726,000000,330.0000000
ROSN,D,20160727,000000,329.9000000
ROSN,D,20160728,000000,334.0000000
